job_title,experience,salary,location,job_description,tech_stack
Mongodb Database Administrator,,Not disclosed ,,,"['Ops', 'Mongodb Dba', 'Mongo Ops Manager', 'DBMS', 'MongoDB', 'Database administration', 'MongoDB Database', 'Management']"
Principal Database Administrator,,Not disclosed ,,,"['Smart scan', 'Query Optimization', 'Root Cause Analysis', 'Exadata', 'ZDLRA', 'ZFS', 'Sql Performance Tuning', 'Performance Tuning']"
Microsoft SQL Server Database Administration Application Developer,,Not disclosed ,,,"['Database Administration', 'SQL Server', 'Unix', 'performance tuning', 'Stored procedures', 'Splunk', 'SQL', 'SQL DBA']"
Hiring MongoDB Database Administrator,,Not disclosed ,,,"['Mongodb Dba', 'Aws Cloud', 'Azure Cloud', 'AWS', 'Administration', 'Microsoft Azure', 'MongoDB Database', 'MongoDB']"
Database Administrator(MongoDB),,Not disclosed ,,,"['Shell Scripting', 'MySQL', 'MongoDB', 'amazon rds', 'AWS', 'python', 'Administration', 'DBMS']"
DB2 Database Administrator,,Not disclosed ,,,"['Data management', 'Linux programming', 'UNIX shell scripting', 'Database Servers', 'SQL Server', 'SQL performance tuning', 'Administration', 'Server']"
Mainframe DB2 DBA,,Not disclosed ,,,"['JCL', 'Database administration', 'Troubleshooting', 'SQL', 'Python', 'Performance tuning', 'Coding', 'REXX']"
Informix Database Administrator,,Not disclosed ,,,"['Database Administration', 'Linux', 'Informix', 'DBMS', 'Administration']"
MongoDB Database Administrator-NoSQL Database Administration,,Not disclosed ,,,"['Cloud Technologies', 'RDBMS', 'MongoDB', 'Mongodb Administration', 'Nosql Database', 'Mongodb Database', 'Administration', 'NoSQL']"
DB2 DBA Administrator,,Not disclosed ,,,"['Performance tuning', 'Agile', 'Scrum', 'Troubleshooting', 'Technical support', 'Housekeeping', 'Disaster recovery', 'QMF']"
Db2 Luw Database Administrator,,5-15 Lacs PA ,,,"['DB2 LUW', 'DB2 zOS', 'Zos', 'Luw', 'Administration', 'DBMS', 'Database administration']"
Immediate openings For IBM DB2 LUW DBA,,Not disclosed ,,,"['DBA', 'IBM DB2', 'Luw', 'Azure', 'Scripting', 'DBMS', 'Microsoft Azure', 'Db Dba']"
Mongodb Database Administrator,,5-15 Lacs PA ,,,"['MongoDB installation', 'Hands on experience in writing/troubleshooting shell scripts', 'Configuring', 'Database upgrades and applying PSU packs', 'DR databases', 'Linux', 'configuring HA', 'PSU']"
Db2 Database Administrator,,14-24 Lacs PA ,,,"['Knowledge of handling L2/L3 activities', 'Shell Scripting', 'Perl', 'Python', 'DBMS', 'Administration', 'Db Dba', 'L2']"
Database Support Engineer,,Not disclosed ,,,"['Service Now Ticketing', 'PLSQL', 'Oracle Support', 'Production Support', 'Database', 'Sql Support', 'SQL', 'Production']"
Mongodb Database Administrator,,Not disclosed ,,,"['MongoDB', 'Python', 'Node.Js', 'DBMS', 'Administration', 'MongoDB Database']"
HCL is Hiring For Senior DBA DB2 Role,,Not disclosed ,,,"['Oracle DBA', 'Oracle', 'DBA', 'Senior', 'Database administration', 'Hiring', 'DBMS', 'Db Dba']"
DB2 LUW DBA,,Not disclosed ,,,"['DB2 LUW DBA', 'Database Administration', 'Db Dba', 'DBMS', 'Db Db', 'Luw', 'Db', 'Administration']"
Mainframe DB2 Database Administrator (ZOS),,Not disclosed ,,,"['SQL Replication', 'Q Replication', 'Database Administration', 'QueueReplication', 'Mainframe DB2 DBA', 'Disaster Recovery', 'Qrep', 'Performance Tuning']"
Junior DBA,,Not disclosed ,,,"['Housekeeping', 'MS SQL', 'RDBMS', 'MySQL', 'query', 'Database administration', 'Database', 'Scheduling']"
Mssql DBA - Immediate Opening - AtoS,,11-16 Lacs PA ,,,"['Mirroring', 'Database Mirroring', 'MSSQL DBA', 'Log Shipping', 'Performance Tuning', 'SQL Server Administration', 'Replication', 'Clustering']"
Mysql Database Administrator,,Not disclosed ,,,"['MySQL Database Administration', 'MySQL', 'Mysql Database', 'DBMS', 'Administration', 'SQL database', 'Database administration']"
Technology - Applications - Database Administrator,,Not disclosed ,,,"['Service delivery', 'Performance tuning', 'Leadership development', 'Linux', 'data security', 'Project initiation', 'IFS', 'Database']"
Database administrator - Work from Office (Bangalore),,8-12 Lacs PA ,,,"['DBA', 'Database Design', 'Database Administrator', 'SQL', 'Python', 'MYSQL', 'RDBMS', 'Shell Scripting']"
Senior DBA Technology Lead,,Not disclosed ,,,"['Process improvement', 'Technology Lead', 'Cloud', 'Database administration', 'Senior Sybase Database Administrator', 'Operations', 'AWS', 'SDLC']"
Senior DBA and Techology Lead,,Not disclosed ,,,"['Techology Lead', 'Process improvement', 'Cloud', 'Database administration', 'Senior Sybase Database Administrator', 'Operations', 'AWS', 'SDLC']"
Snowflake DBA,,Not disclosed ,,,"['Security audit', 'Automation', 'Performance management', 'Security management', 'Backup management', 'Database', 'Database administration', 'PLSQL']"
Sybase Database Administrator,,Not disclosed ,,,"['Sybase DBA', 'Performance Tuning', 'Troubleshooting', 'Sybase Replication', 'SQL database', 'SyBase', 'Administration', 'SyBase Database Administration']"
DBA - IT Consultant,,Not disclosed ,,,"['global operations', 'Performance tuning', 'GCP', 'Export import', 'Disaster recovery', 'Problem management', 'SAP Basis', 'Incident management']"
Postgresql Database Administrator,,12-22 Lacs PA ,,,"['Postgres Database', 'Migration', 'Performance Tuning', 'Database Migration', 'Performance', 'Postgresql', 'Administration', 'DBMS']"
Oracle Apps DBA Fresher,,Not disclosed ,,,"['Oracle Database', 'Database Maintenance', 'DBA fresher', 'Oracle Apps DBA', 'Oracle DBA', 'Oracle applications DBA fresher', 'Database Installation', 'Oracle ebs admin']"
Oracle DBA,,Not disclosed ,,,"['Linux', 'Operating systems', 'Database design', 'Database administration', 'Oracle DBA', 'Database maintenance', 'Windows', 'Oracle']"
Oracle Apps DBA Consultant,,Not disclosed ,,,"['Oracle Apps Dba', 'System Administration', 'Database Administration', 'Oracle RAC', 'Golden Gate', 'RMAN', 'Oracle Apps', 'RAC']"
"Database Administrator, My SQL",,3-7 Lacs PA ,,,"['MySQL Database Administration', 'Database Administration', 'Database Handling', 'SQL Server Administration', 'Mysql Database', 'Database Migration', 'SQL Server', 'SQL DBA']"
Staff Engineer (SQL Database Administrator),,Not disclosed ,,,"['cloud', 'MongoDB', 'Database Administrator', 'SQL DBA', 'Nosql Database', 'amazon', 'gcp', 'azure']"
Database Administrator,,Not disclosed ,,,"['Database Administration', 'Query Optimization', 'Query Tuning', 'PostgreSQL', 'MySQL', 'MongoDB', 'Performance', 'Query']"
Postgresql Database Administrator,,Not disclosed ,,,"['Database Administration', 'RDBMS', 'ITIL Process', 'Administration', 'Postgresql Database Administration', 'Process', 'ITIL', 'DBMS']"
Urgent Requirement || Mongo DBA,,3.5-8.5 Lacs PA ,,,"['Mongo DBA', 'Influx', 'Mongodb Dba', 'MongoDB', 'Mongodb Administration', 'Mongo Database administrator', 'Timeseries Databases', 'MongoDB Database']"
Database Administrator,,Not disclosed ,,,"['Automation', 'Change management', 'Data modeling', 'RDBMS', 'MySQL', 'Schema', 'Animation', 'Monitoring']"
Database Administrator ( Relational Database),,18-27.5 Lacs PA ,,,"['Linux', 'Query', 'RDBMS', 'Mirroring', 'Networking', 'Backup', 'Replication', 'Performance Tuning']"
SAP HANA Database Administrator,,Not disclosed ,,,"['Unix', 'Performance tuning', 'Linux', 'Shell scripting', 'LAN', 'Computer science', 'WAN', 'Enterprise applications']"
Mysql DBA,,20-22.5 Lacs PA ,,,"['Query Optimization', 'SQL Tuning', 'Database Migration', 'Performance Tuning', 'MySQL Database Administration', 'Administration', 'DBMS', 'Migration']"
Application Database Administrator,,Not disclosed ,,,"['Oracle Apps Dba', 'Oracle RAC', 'Apps DBA', 'oracle e-business suite', 'Dataguard', 'Oracle Apps', 'RAC', 'RMAN']"
