job_title,experience,salary,location,job_description,tech_stack
Data Scientist/ Senior Data Scientist,4-9 Yrs ,Not disclosed ,,Demonstrate excellent communication skills and the ability to work effectively in a tea...,"['Computer science', 'GIT', 'GCP', 'Analytical', 'Software development life cycle', 'Workflow', 'Application development', 'Natural language processing']"
Experienced Data Scientist,3-8 Yrs ,Not disclosed ,,You will work in agile teams through good collaboration with our colleagues in ...,"['Automation', 'C++', 'Powertrain', 'Mechatronics', 'Simulation', 'Construction equipment', 'Simulink', 'MATLAB']"
Data Scientist - Knowledge Graph,8-13 Yrs ,Not disclosed ,,Requirements and Skills : - 8+ years of experience in data science field Experience in...,"['Team management', 'Prototype', 'Database design', 'Agile', 'Data structures', 'MATLAB', 'Analytics', 'Financial services']"
Data Scientist HTHD,2-6 Yrs ,Not disclosed ,,Potential candidates should have hands-on experience in applying first principles metho...,"['Supply chain', 'SAS', 'Analytical', 'Machine learning', 'Data mining', 'MATLAB', 'Analytics', 'Python']"
Data Scientist - Assistant Manager/Manager,4-7 Yrs ,Not disclosed ,,We are looking for data scientists responsible for solving business problems like forec...,"['Neural Networks', 'Machine Learning', 'Python', 'Regression', 'Clustering', 'Data management', 'Management', 'Data']"
Staff Data Scientist,0-3 Yrs ,Not disclosed ,,Basic Qualifications: 5+ years of relevant work experience with a Bachelor s Degree or ...,"['Unix', 'Automation', 'Linux', 'Data structures', 'Perl', 'Business intelligence', 'Troubleshooting', 'Open source']"
VP- Data Scientist,12-16 Yrs ,Not disclosed ,,"Basic QualificationsDegree in computer science, engineering, mathematics, operations r...","['Data Science', 'Natural Language Processing', 'data scientist', 'Machine Learning', 'Deep Learning', 'VP', 'Data', 'Machine']"
Data Scientist,5-8 Yrs ,17-25 Lacs PA ,,Data Scientist. PAN India. Notice Period: Immediate to 30 days only. Must haveExperienc...,"['Azure', 'NLP', 'Python', 'Docker', 'FAST API', 'Data', 'API', 'Microsoft Azure']"
Principal Data Scientist,10-12 Yrs ,Not disclosed ,,"Experience with cloud platforms (e.g., AWS, GCP, Azure) and their data analysis tools (...","['NLP', 'data science', 'GCP', 'Python', 'TensorFlow', 'model validation', 'PyTorch', 'BigQuery']"
Data Scientist,5-10 Yrs ,Not disclosed ,,Job description : Data scientist who works in python with advanced statistical modellin...,"['Statistical modeling', 'Deployment', 'Python', 'Testing', 'Software testing', 'Data', 'Modeling', 'Statistics']"
Data Scientist,3-5 Yrs ,Not disclosed ,,The candidate should be comfortable in Python and should have worked on data science pr...,"['Deep Learning', 'Python', 'SQL', 'TensorFlow', 'PyTorch', 'Data']"
Artificial Intelligence Senior Analyst- Insights and Intelligence,5-8 Yrs ,Not disclosed ,,Skill required: Artificial Intelligence Innovation - Data Science. You are required to ...,"['Data Science', 'Artificial Intelligence Innovation', 'deep learning', 'python', 'nlp', 'client relationship', 'creative solutions', 'machine learning']"
Senior Data Scientist (ML Engineer),1-5 Yrs ,Not disclosed ,,"Demonstrates up-to-date expertise and applies this to the development, execution, an...","['data science', 'Networking', 'Coding', 'Machine learning', 'SEZ', 'Instrumentation', 'big data', 'Information technology']"
SENIOR DATA SCIENTIST,7-9 Yrs ,Not disclosed ,,"Demonstrates up-to-date expertise and applies this to the development, execution, an...","['Networking', 'Machine learning', 'Data structures', 'Business solutions', 'Information technology', 'Analytics', 'Monitoring', 'SQL']"
Senior Data Scientist,1-5 Yrs ,Not disclosed ,,"Demonstrates up-to-date expertise and applies this to the development, execution, an...","['Networking', 'Machine learning', 'Data structures', 'Business solutions', 'Information technology', 'Analytics', 'Monitoring', 'SQL']"
Data Scientist,4-9 Yrs ,20-35 Lacs PA ,,At least 4+ years of relevant experience as a data scientist 2+ years of experience wor...,"['Data Science', 'Python', 'Science', 'Data']"
Data Scientist,2-6 Yrs ,Not disclosed ,,"Bachelor of Engineering experience in optimization (linear, mixed integer, constraint ...","['Telecom', 'SAS', 'Billing', 'SQL', 'Simulation', 'SPSS', 'Business intelligence', 'Forecasting']"
Data Scientist,8-12 Yrs ,Not disclosed ,,"The candidate should possess a strong background in Python programming, database manage...","['CSS', 'JavaScript', 'HTML', 'React', 'open source', 'python', 'predictive modeling', 'web technologies']"
Data Scientist,4-9 Yrs ,12-22 Lacs PA ,,Data Science Manager:Data Science Manager - 7 - 9 Years of ExperienceJob Description:O...,"['Data Science', 'Machine Learning', 'Python', 'Science', 'Data', 'Machine']"
Sr.Associate - Data Scientist,4-9 Yrs ,Not disclosed ,,We are seeking an innovative and analytical thinker to support our Data Science team...,"['Manager Quality Assurance', 'SAS', 'Linux', 'Data modeling', 'XML', 'Predictive modeling', 'Data mining', 'Business intelligence']"
Senior Data Scientist,4-8 Yrs ,Not disclosed ,,"Professional Qualification . related field such as Computer Science, Data Science, Stat...","['Computer science', 'Team management', 'data science', 'Business analysis', 'Artificial Intelligence', 'Underwriting', 'Machine learning', 'Statistics']"
Data Scientist,10-12 Yrs ,Not disclosed ,,"Excellent understanding of machine learning techniques and algorithms, such as k-NN, Na...","['data science', 'Coding', 'Data modeling', 'Agile development', 'MySQL', 'Machine learning', 'test driven development', 'MATLAB']"
Data Scientist,2-5 Yrs ,Not disclosed ,,Candidate should have hands-on experience in core Machine Learning models and have at l...,"['Pharma', 'Machine learning', 'Legal', 'Data processing', 'Life sciences', 'SAGE', 'Pattern recognition', 'Subject Matter Expert']"
Data Scientist - Regression,4-9 Yrs ,Not disclosed ,,Provide technical assistance and cross training to other team members. . What You Will ...,"['AI', 'data science', 'Power BI', 'Access', 'RCM domain', 'SQL', 'Data modelling', 'DNS']"
Data Scientist - ML,2-5 Yrs ,Not disclosed ,,"Requirements: Bachelors/ Masters / Ph D degree in Math, Computer Science, Information S...","['machine learning', 'python', 'R', 'Hive', 'SAS', 'Sqoop', 'data mining', 'Mahout']"
