Profile,job_title,experience,salary,location,job_description,tech_stack
DO,DevOps Engineer,7-11 Yrs ,12-20 Lacs PA ,,DevOps EngineerDevelopment of the full life cycle of software or applications with aut...,"[Automation, Azure Cloud, Cicd Pipeline, SQL Queries, Jenkins, GIT, Docker, Ansible]"
DO,Senior DevOps Engineer,5-7 Yrs ,Not disclosed ,,Skill Sets . 5+ years of experience working on development and production infrastructur...,"[DevOps, VMware, Nginx, JBoss, Configuration management, Linux, Docker, Terraform]"
DO,Senior Devops Engineer,3-8 Yrs ,Not disclosed ,,"AWS: Working experience and a good understanding of the AWS environment, including VPC,...","[Terraform, Kubernates, AWS, Java, Aws Devops, Linux, Ansible, Devops Tools]"
DO,Azure Devops Engineer,4-9 Yrs ,10-20 Lacs PA ,,"Role & responsibilities Good exp in Azure devops. Good work experience in AKS , CI/ CD...","[Azure Devops, Azure Kubernetes Service, Cicd Pipeline, Azure Kubernetes, Microsoft Azure, Cd, Pipeline, Kubernetes]"
DO,DevOps Engineer - AWS,5-10 Yrs ,"50,000-60,000 PA ",,Hands on Experience on writing pipeline as code. Hands-on Experience on building CI / C...,"[continuous integration, kubernetes, nexus, technical, ci/cd, docker, ansible, cloud]"
DO,Site Reliability Engineer / DevOps,2-5 Yrs ,Not disclosed ,,Experience required: 2-4+ years of professional experienceMust know any one programming...,"[Docker, Site Reliability Engineer, load balancing, Chef, DNS, DevOps, CI/CD tooling, Terraform]"
DO,Aws Devops Engineer,4-9 Yrs ,8-18 Lacs PA ,,"must. - Experience with observability Stack for kubernetes(Prometheus, Grafana, Long te...","[Aws Devops, Kubernetes, Jenkins, python, GIT, Terraform, Shell Scripting, Cicd Pipeline]"
DO,Senior Devops Engineer Python & MLOps,5-7 Yrs ,Not disclosed ,,"Requirements: Bachelors degree in Computer Science, Information Technology, or a relate...","[CI/ CD, LAC, DockerKubernetes, lambdas, Prometheus, SNS, cloudwatch, Pagerduty]"
DO,Cloud DevOps - Senior Engineer,5-7 Yrs ,Not disclosed ,,Engineering graduate with over 5+ years of experience in Build and Release ManagementMu...,"[DevOps, Shell, Docker, Linux, My Sql, Ansible, CI/CD, Bash]"
DO,DevOps Engineer,5-7 Yrs ,Not disclosed ,,"Education: Bachelor s Degree in Engineering, MCASetting up tools and required infrastru...","[DevOps, CI/CD Pipelines, Artifactory, EKS, Jenkins, Kanban, Git, Docker]"
