job_title,experience,salary,location,job_description,tech_stack
Hiring Java Technical Lead - Hyderabad & Ahmedabad,,Not disclosed ,,Job Title: Java Tech Lead Company: Techblocks Experience: 7+ yearsJob Type: Full-timeA...,"['Java', 'team', 'Team Management', 'Team Handling', 'Hibernate', 'Spring Boot', 'Project Delivery', 'Technical Leadership']"
Java Full Stack Development Application Developer,,Not disclosed ,,Educational Qualification : Minimum 15 years of full time education Must Have Skills : ...,"['Hibernate', 'Front end', 'Agile', 'J2Ee', 'HTML', 'Conflict resolution', 'microservices', 'Development']"
Java Full Stack Developer,,Not disclosed ,,"Full Stack DeveloperDesign, develop, troubleshoot, and debug software programs for dat...","['Java', 'Fullstack Development', 'Servlets / Jsp', 'J2Ee', 'Servlets', 'trade finance operations', 'ui development', 'Spring Boot']"
Senior Java Developer,,Not disclosed ,,"The ideal candidate should have a strong background in Java development, as well as exp...","['SOA', 'J2Ee', 'AWS', 'microservices', 'Senior', 'Java', 'Development']"
Java Backend Developer,,Not disclosed ,,". 2)Requirements Strong experience in real-time, low-latency multi-threaded server-side...","['Java', 'Database management', 'J2EE', 'Application development', 'Spring boot', 'Oracle', 'Restful Webservices', 'Sybase']"
Technology Lead - Java Developer,,Not disclosed ,,"You will create requirement specifications from the business needs, define the to-be-pr...","['Java Development', 'Java', 'Hibernate', 'Spring Mvc', 'Spring Boot', 'J2Ee', 'Core Java Development', 'Microservices']"
Java Spring Boot Developer,,Not disclosed ,,"Experience Range: 04-07 years . What we are looking for Experience in Java, J2EE (v8) B...","['spring boot', 'java', 'Microservices', 'Hibernate', 'JSP', 'web technologies', 'j2ee', 'Development']"
Java Full Stack Development Application Developer,,Not disclosed ,,Educational Qualification : 15 years Full Time Education Work Experience : 4-6 years Pr...,"['Java', 'C', 'J2EE', 'SQL', 'Application Development', 'software development', 'Full Stack Development', 'Development']"
HCL Technologies hiring For Senior Java Developer,,Not disclosed ,,Minimum expDemonstrated experience in OOAD using established methodologies and notation...,"['Hibernate', 'Spring Boot', 'J2Ee', 'Core java', 'microservices', 'Spring Mvc', 'Javascript', 'Webservice Development']"
Java Enterprise Edition Application Developer,,Not disclosed ,,Educational Qualification : Any Graduate Technical Experience : Must have 5years of exp...,"['Multithreading', 'Coding', 'SCALA', 'Software development life cycle', 'Oracle', 'Design development', 'J2Ee', 'big data']"
