Profile,tech_stack,tobeclusteredcolumn,cluster
DO,Automation,DO Automation,0
DO,Azure Cloud,DO Azure Cloud,0
DO,Cicd Pipeline,DO Cicd Pipeline,0
DO,SQL Queries,DO SQL Queries,0
DO,Jenkins,DO Jenkins,0
DO,GIT,DO GIT,0
DO,Docker,DO Docker,0
DO,Ansible,DO Ansible,0
DO,DevOps,DO DevOps,0
DO,VMware,DO VMware,0
DO,Nginx,DO Nginx,0
DO,JBoss,DO JBoss,0
DO,Configuration management,DO Configuration management,1
DO,Linux,DO Linux,0
DO,Terraform,DO Terraform,0
DO,Kubernates,DO Kubernates,0
DO,AWS,DO AWS,0
DO,Java,DO Java,0
DO,Aws Devops,DO Aws Devops,0
DO,Devops Tools,DO Devops Tools,0
DO,Azure Devops,DO Azure Devops,0
DO,Azure Kubernetes Service,DO Azure Kubernetes Service,0
DO,Azure Kubernetes,DO Azure Kubernetes,0
DO,Microsoft Azure,DO Microsoft Azure,0
DO,Cd,DO Cd,0
DO,Pipeline,DO Pipeline,0
DO,Kubernetes,DO Kubernetes,0
DO,continuous integration,DO continuous integration,0
DO,kubernetes,DO kubernetes,0
DO,nexus,DO nexus,0
DO,technical,DO technical,0
DO,ci/cd,DO ci/cd,0
DO,docker,DO docker,0
DO,ansible,DO ansible,0
DO,cloud,DO cloud,0
DO,Site Reliability Engineer,DO Site Reliability Engineer,0
DO,load balancing,DO load balancing,0
DO,Chef,DO Chef,0
DO,DNS,DO DNS,0
DO,CI/CD tooling,DO CI/CD tooling,0
DO,python,DO python,0
DO,Shell Scripting,DO Shell Scripting,0
DO,CI/ CD,DO CI/ CD,0
DO,LAC,DO LAC,0
DO,DockerKubernetes,DO DockerKubernetes,0
DO,lambdas,DO lambdas,0
DO,Prometheus,DO Prometheus,0
DO,SNS,DO SNS,0
DO,cloudwatch,DO cloudwatch,0
DO,Pagerduty,DO Pagerduty,0
DO,Shell,DO Shell,0
DO,My Sql,DO My Sql,0
DO,CI/CD,DO CI/CD,0
DO,Bash,DO Bash,0
DO,CI/CD Pipelines,DO CI/CD Pipelines,0
DO,Artifactory,DO Artifactory,0
DO,EKS,DO EKS,0
DO,Kanban,DO Kanban,0
DO,Git,DO Git,0
DO,ECS,DO ECS,0
DO,AWS ECR,DO AWS ECR,0
DO,Amazon Web Services,DO Amazon Web Services,0
